x	y	TVDss	Layer	Prediction	WellName	por
689340.706	5072557.328	1350.844	7.0	0.012659233	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1351.844	7.0	0.012659233	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1352.844	7.0	0.012659233	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1353.844	7.0	0.012659233	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1354.844	7.0	0.012659233	REZOVACCKE_KRCCEVINE-1	0.017
689340.706	5072557.328	1355.844	7.0	0.012659233	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1356.844	7.0	0.012659233	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1357.844	7.0	0.012659233	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1358.844	7.0	0.012659233	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1359.844	7.0	0.012659233	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1360.844	7.0	0.032157246	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1361.844	7.0	0.032157246	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1362.844	7.0	0.032157246	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1363.844	7.0	0.032157246	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1364.844	7.0	0.032157246	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1365.844	7.0	0.032157246	REZOVACCKE_KRCCEVINE-1	0.06
689340.706	5072557.328	1366.844	7.0	0.032157246	REZOVACCKE_KRCCEVINE-1	0.114
689340.706	5072557.328	1367.844	7.0	0.032157246	REZOVACCKE_KRCCEVINE-1	0.134
689340.706	5072557.328	1368.844	7.0	0.032157246	REZOVACCKE_KRCCEVINE-1	0.077
689340.706	5072557.328	1369.844	7.0	0.032157246	REZOVACCKE_KRCCEVINE-1	0.017
689340.706	5072557.328	1370.844	7.0	0.032157246	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1371.844	7.0	0.032157246	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1372.844	7.0	0.032157246	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1373.844	7.0	0.032157246	REZOVACCKE_KRCCEVINE-1	0.0
689340.706	5072557.328	1374.844	7.0	0.032157246	REZOVACCKE_KRCCEVINE-1	0.038
689340.706	5072557.328	1375.844	7.0	0.032157246	REZOVACCKE_KRCCEVINE-1	0.069
689340.706	5072557.328	1376.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.108
689340.706	5072557.328	1377.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.047
689340.706	5072557.328	1378.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.058
689340.706	5072557.328	1379.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.03
689340.706	5072557.328	1380.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.059
689340.706	5072557.328	1381.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.08
689340.706	5072557.328	1382.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.077
689340.706	5072557.328	1383.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.089
689340.706	5072557.328	1384.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.088
689340.706	5072557.328	1385.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.119
689340.706	5072557.328	1386.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.119
689340.706	5072557.328	1387.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.119
689340.706	5072557.328	1388.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.129
689340.706	5072557.328	1389.844	7.0	0.0885103	REZOVACCKE_KRCCEVINE-1	0.121
