x	y	TVDss	Layer	Prediction	WellName	temp
689340.706	5072557.328	530.844	6.0	43.141605	REZOVACCKE_KRCCEVINE-1	42.034
689340.706	5072557.328	531.844	6.0	43.141605	REZOVACCKE_KRCCEVINE-1	42.074
689340.706	5072557.328	532.844	6.0	43.141605	REZOVACCKE_KRCCEVINE-1	42.114
689340.706	5072557.328	533.844	6.0	43.141605	REZOVACCKE_KRCCEVINE-1	42.154
689340.706	5072557.328	534.844	6.0	43.141605	REZOVACCKE_KRCCEVINE-1	42.194
689340.706	5072557.328	535.844	6.0	43.141605	REZOVACCKE_KRCCEVINE-1	42.234
689340.706	5072557.328	536.844	6.0	43.141605	REZOVACCKE_KRCCEVINE-1	42.274
689340.706	5072557.328	537.844	6.0	43.141605	REZOVACCKE_KRCCEVINE-1	42.314
689340.706	5072557.328	538.844	6.0	43.141605	REZOVACCKE_KRCCEVINE-1	42.354
689340.706	5072557.328	539.844	6.0	43.141605	REZOVACCKE_KRCCEVINE-1	42.394
689340.706	5072557.328	540.844	6.0	43.141605	REZOVACCKE_KRCCEVINE-1	42.434
689340.706	5072557.328	541.844	6.0	43.141605	REZOVACCKE_KRCCEVINE-1	42.474
689340.706	5072557.328	542.844	6.0	43.141605	REZOVACCKE_KRCCEVINE-1	42.514
689340.706	5072557.328	543.844	6.0	43.141605	REZOVACCKE_KRCCEVINE-1	42.554
689340.706	5072557.328	544.844	6.0	43.141605	REZOVACCKE_KRCCEVINE-1	42.594
689340.706	5072557.328	545.844	6.0	43.384975	REZOVACCKE_KRCCEVINE-1	42.634
689340.706	5072557.328	546.844	6.0	43.384975	REZOVACCKE_KRCCEVINE-1	42.674
689340.706	5072557.328	547.844	6.0	43.384975	REZOVACCKE_KRCCEVINE-1	42.714
689340.706	5072557.328	548.844	6.0	43.384975	REZOVACCKE_KRCCEVINE-1	42.755
689340.706	5072557.328	549.844	6.0	43.384975	REZOVACCKE_KRCCEVINE-1	42.794
689340.706	5072557.328	550.844	6.0	43.384975	REZOVACCKE_KRCCEVINE-1	42.835
689340.706	5072557.328	551.844	6.0	43.384975	REZOVACCKE_KRCCEVINE-1	42.875
689340.706	5072557.328	552.844	6.0	43.384975	REZOVACCKE_KRCCEVINE-1	42.915
689340.706	5072557.328	553.844	6.0	43.384975	REZOVACCKE_KRCCEVINE-1	42.955
689340.706	5072557.328	554.844	6.0	43.384975	REZOVACCKE_KRCCEVINE-1	42.995
689340.706	5072557.328	555.844	6.0	43.384975	REZOVACCKE_KRCCEVINE-1	43.035
689340.706	5072557.328	556.844	6.0	43.384975	REZOVACCKE_KRCCEVINE-1	43.075
689340.706	5072557.328	557.844	6.0	43.384975	REZOVACCKE_KRCCEVINE-1	43.115
689340.706	5072557.328	558.844	6.0	43.384975	REZOVACCKE_KRCCEVINE-1	43.155
689340.706	5072557.328	559.844	6.0	43.384975	REZOVACCKE_KRCCEVINE-1	43.195
689340.706	5072557.328	560.844	6.0	43.898598	REZOVACCKE_KRCCEVINE-1	43.235
689340.706	5072557.328	561.844	6.0	43.898598	REZOVACCKE_KRCCEVINE-1	43.275
689340.706	5072557.328	562.844	6.0	43.898598	REZOVACCKE_KRCCEVINE-1	43.315
689340.706	5072557.328	563.844	6.0	43.898598	REZOVACCKE_KRCCEVINE-1	43.355
689340.706	5072557.328	564.844	6.0	43.898598	REZOVACCKE_KRCCEVINE-1	43.395
689340.706	5072557.328	565.844	6.0	43.898598	REZOVACCKE_KRCCEVINE-1	43.435
689340.706	5072557.328	566.844	6.0	43.898598	REZOVACCKE_KRCCEVINE-1	43.475
689340.706	5072557.328	567.844	6.0	43.898598	REZOVACCKE_KRCCEVINE-1	43.515
689340.706	5072557.328	568.844	6.0	43.898598	REZOVACCKE_KRCCEVINE-1	43.555
